id,FOLIO,id,TIPO DE EVENTO,HOMOLOGACIÓN_TIPO DE EVENTO,TIPO DE EVENTO 2,FECHA EVENTO,HORA RECEPCION,HORA DESPACHO,HORA ARRIBO,ZONA,SECTOR,CUADRANTE,ALCALDÍA,LATITUD Y,LONGITUD X,CARPETA DE INVESTIGACION,ORIGEN,MOVIL,CAUSA,FALLECIDOS,LESIONADOS,DETENIDOS,ARMA DE FUEGO INVOLUCRADA,CALIBRE ARMA DE FUEGO,ARMA DE BLANCA INVOLUCRADA,LUGAR LOCALIZACION CADAVER,AUTOMOVIL INVOLUCRADO,MOTOCICLETA INVOLUDRADA,DROGAS INVOLUDRADAS,OBSERVACIONES
102,C5/20221022/04518,102,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,22/10/2022,18:59:32,19:00:03,19:02:09,ZONA PONIENTE,SOTELO,P-4.3.6,MIGUEL HIDALGO,19.447545,-99.198593,PENDIENTE,LLAMADA DEL 911,RIÑA,LESIÓN POR ARMA BLANCA,1,,1,NO,NA,NO,VIA PUBLICA,SI,NO,NO,
103,C5/20221022/00832,103,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,22/10/2022,02:39:22,02:40:08,02:41:50,ZONA NORTE,MERCED BALBUENA,N-3.4.1,VENUSTIANO CARRANZA,19.41093,-99.11765,CI-FIGAM/UAT-GAM-2/UI-1 S/D/03146/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,.30MM,NO,VIA PUBLICA,NO,NO,NO,
104,C5/20221021/04256,104,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,21/10/2022,21:20:47,21:21:28,21:25:06,ZONA ORIENTE,ZAPOTITLA,O-3.2.8,TLÁHUAC,19.275826,-99.030898,CI-FIEDH/2/UI-1C/D/00347/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,NO,NO,
105,C2N/20221022/00039,105,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,21/10/2022,07:23:52,07:25:09,07:27:53,ZONA NORTE,TICOMÁN,N-1.8.10,GUSTAVO A. MADERO,19.5144252,-99.138413,CI-FIGAM/UAT-GAM-2/UI-1 S/D/03158/10-2022,RADIO,AGRESION DIRECTA,LESIÓN POR ARMA BLANCA,1,,,NO,NA,SI,HOSPITAL,NO,NO,NO,
106,C5/20221023/05265,106,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,23/10/2022,18:00:49,18:01:42,18:02:46,NO ESPECIFICADO,HOSPITALES,S-2.5.4,COYOACÁN,19.301121,-99.161596,CI-FITLP/UAT-TLP-3/UI-2 S/D/03408/10-2022,LLAMADA DEL 911,ROBO A PASAJERO DE TRANSPORTE PÚBLICO,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,NO,NO,
107,C5/20221023/03200,107,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,23/10/2022,10:30:08,10:31:36,10:33:34,ZONA SUR,TOPILEJO,S.4.5.6,TLALPAN,19.211197,-99.203382,CI-FIEDH/2/UI-1C/D/00349/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,ETIOLOGIA A DETERMINAR CON SIGNOS DE VIOLENCIA,1,,,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,ZONA BOSCOSA/PARAJE,NO,NO,NO,
108,C5/20221023/01854,108,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,23/10/2022,03:48:13,03:54:32,03:54:43,ZONA CENTRO,ROMA,C-1.7.13,CUAUHTÉMOC,19.4121139,-99.15967377,CI-FIEDH/2/UI-1C/D/00348/10-2022,LLAMADA DEL 911,RIÑA,LESIÓN POR ARMA BLANCA,1,,,NO,NA,SI,VIA PUBLICA,NO,NO,NO,
109,C5/20221023/01338,109,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,23/10/2022,02:40:54,02:50:31,03:02:44,ZONA SUR,FUENTE,S-4.2.3,TLALPAN,19.288196,-99.180349,CI-FITLP/UAT-TLP-3/UI-1 S/D/03403/10-2022,LLAMADA DEL 911,NO ESPECIFICADO,ETIOLOGIA A DETERMINAR,1,,,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,DOMICILIO,NO,NO,NO,
110,C5/20221023/01281,110,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,23/10/2022,02:33:47,02:33:57,02:33:59,ZONA PONIENTE,HORMIGA,P-2.3.2,AZCAPOTZALCO,19.50923703,-99.20324921,CI-FIAZ/AZ-4/UI-1S/D/06110/10-2022,RADIO,NO ESPECIFICADO,ETIOLOGÍA A DETERMINAR,1,,,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,VIA PUBLICA,NO,NO,NO,
111,C2O/20221023/00304,111,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,23/10/2022,22:08:00,22:08:00,22:08:00,ZONA ORIENTE,MILPA ALTA,O-2.1.1,MILPA ALTA,19.200238,-99.011082,PENDIENTE,RADIO,NO ESPECIFICADO,LESIÓN POR ARMA BLANCA,1,,,NO,NA,SI,HOSPITAL,SI,NO,NO,
112,C5/20221024/04071,112,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,24/10/2022,20:10:31,20:11:04,20:14:12,ZONA ORIENTE,TEPEPAN,O-4.2.10,XOCHIMILCO,19.2447923,-99.0767507,CI-FIEDH/2/UI-1C/D/00351/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,2,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,SI,
113,C5/20221024/00972,113,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,24/10/2022,06:12:17,06:12:41,06:12:43,ZONA SUR,XOTEPINGO,S-2.5.3,COYOACÁN,19.305772,-99.145786,CI-FICOY/UAT-COY-5/UI-1S/D/01811/10-202,PERSONAL DEL SECTOR XOTEPINGO INFORMÓ ,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,1,SI,NO ESPECIFICADO,NO,HOSPITAL,NO,NO,NO,
114,C5/20221025/03272,114,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,25/10/2022,18:41:31,18:42:19,18:43:34,ZONA ORIENTE,SANTA CRUZ,O-1.7.14,IZTAPALAPA,19.374974,-99.055159,CI-FIEDH/2/UI-1C/D/00353/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,2,3,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,SI,NO,
115,C5/20221025/02151,115,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,25/10/2022,14:22:27,14:25:14,14:29:05,ZONA NORTE,MOCTEZUMA,N-3.5.14,VENUSTIANO CARRANZA,19.4463233,-99.110431,CI-FIEDH/2/UI-1 C/D/00352/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,SI,NO,
116,C5/20221027/00531,116,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,27/10/2022,04:13:54,04:14:18,04:20:06,ZONA NORTE,CONSULADO,N-3.3.7,VENUSTIANO CARRANZA,19.451417,-99.115484,CI-FIEDH/2/UI-1C/D/00355/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,1,SI,.45MM,NO,VIA PUBLICA,SI,SI,NO,
117,C2N/20221028/00001,117,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,28/10/2022,00:10:50,00:12:16,00:16:17,ZONA NORTE,PANTITLÁN,N-2.2.14,IZTACALCO,19.39229,-99.07954,CI-FIEDH/2/UI-1 C/D/00356/10-2022,BOTÓN DE AUXILIO,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
118,C5/20221029/06412,118,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,29/10/2022,21:38:28,21:39:00,21:41:19,ZONA PONIENTE,CUITLÁHUAC,P-2.2.2,AZCAPOTZALCO,19.48258,-99.17472,PENDIENTE,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
119,C5/20221029/06398,119,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,29/10/2022,21:36:42,21:37:27,21:39:50,ZONA ORIENTE,ZAPOTITLA,P-3.2.8,TLÁHUAC,19.282276,-99.033617,PENDIENTE,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,1,1,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
120,C5/20221029/01286,120,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,29/10/2022,03:17:17,03:17:33,03:17:37,ZONA PONIENTE,SAN ANGEL,P-1.3.6,ÁLVARO OBREGÓN,19.338653,-99.192098,CI-FIEDH/2/UI-1 C/D/00357/10-2022,LLAMADA DEL 911,RIÑA,LESION POR GOLPES,1,,,NO,NA,NO,VIA PUBLICA,NO,NO,NO,
121,C2O/20221029/00034,121,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,29/10/2022,04:18:14,04:19:29,04:19:48,ZONA ORIENTE,ZAPOTITLA,O-3.2.10,TLÁHUAC,19.28779913,-99.05224177,CI-FITLH/UAT-TLH-1/UI-1 S/D/02354/10-202,RADIO,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,SI,NO,NO,
122,C5/20221030/06979,122,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,30/10/2022,21:18:35,21:18:47,21:21:09,ZONA SUR,PADIERNA,S-4.4.3,TLALPAN,19.29233413,-99.23597129,CI-FIEDH/2/UI-1 C/D/00363/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,2,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
123,C5/20221030/03076,123,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,30/10/2022,06:51:20,06:52:16,06:54:47,ZONA ORIENTE,MERCED BALBUENA,N-3.4.1,VENUSTIANO CARRANZA,19.411651,-99.116966,CI-FIEDH/2/UI-1 C/D/00362/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,NO ESPECIFICADO,NO,NO,NO,
124,C5/20221030/01344,124,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,30/10/2022,01:54:33,02:17:31,02:17:40,ZONA ORIENTE,OASIS,O-1.5.13,IZTAPALAPA,19.369706,-99.029002,CI-FIEDH/2/UI-1 C/D/00360/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
125,C5/20221030/01129,125,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,30/10/2022,01:25:13,01:25:52,01:26:43,ZONA NORTE,CONSULADO,N-3.3.2,VENUSTIANO CARRANZA,19.446648,-99.125382,CI-FIEDH/2/UI-1C/D/00359/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
126,C2O/20221030/00065,126,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,30/10/2022,03:21:34,03:23:28,03:23:56,ZONA ORIENTE,MIXQUIC,O-3.1.3.,TLÁHUAC,19.29612046,-99.0140768,CI-FIEDH/2/UI-1 C/D/00361/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,3,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,SI,NO,NO,
127,C5/20221031/01886,127,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,31/10/2022,12:22:04,12:22:21,12:23:17,ZONA SUR,XOTEPINGO,S-2.5.6,COYOACÁN,19.316397,-99.159695,CI-FIEDH/2/UI-1 C/D/00364/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
128,C5/20221031/02605,128,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,31/10/2022,15:02:21,15:03:04,15:09:16,ZONA ORIENTE,MILPA ALTA,O-2.1.1,MILPA ALTA,19.191907,-99.022482,CI-FEIDF/D/UI-2 S/D/00263/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR ARMA BLANCA,1,,1,NO,NA,SI,VIA PUBLICA,NO,NO,NO,EL ARMA PUNZOCORTANTE ANTE LA FISCALÍA ESPECIALIZADA EN LA INVESTIGACIÓN DEL DELITO DE FEMINICIDIOS.
129,C5/20221101/03533,129,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,01/11/2022,19:55:42,19:56:04,19:59:16,ZONA PONIENTE,LA RAZA,P-2.4.7,AZCAPOTZALCO,19.472191,-99.156418,PENDIENTE,LLAMADA DEL 911,AGRESION DIRECTA,LESIONES POR GOLPES,1,,,NO,NA,NO,DOMICILIO,NO,NO,NO,
130,C5/20221101/03382,130,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,01/11/2022,19:25:40,19:26:13,19:27:49,ZONA NORTE,PANTITLÁN,N-2.2.4,IZTACALCO,19.4047,-99.0696,PENDIENTE,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
131,C5/20221031/05016,131,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,31/10/2022,23:52:14,23:52:17,23:53:43,ZONA PONIENTE,CUITLÁHUAC,P-2.2.8,AZCAPOTZALCO,19.4600762,-99.1657439,CI-FIEDH/2/UI-1 C/D/00366/10-2022R1,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,1,1,SI,.40MM,NO,VIA PUBLICA,NO,SI,NO,
132,C5/20221102/03851,132,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,02/11/2022,21:26:24,21:26:49,21:29:30,ZONA ORIENTE,SANTA CRUZ,0-1.5.14,IZTAPALAPA,19.369639,-99.034989,CI-FIEDH/2/UI-1 C/D/00369/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,2,,1,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
133,C5/20221102/03015,133,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,02/11/2022,18:31:38,18:31:54,18:35:01,ZONA SUR,HOSPITALES,S-4.3.11,TLALPAN,19.268023,-99.167723,CI-FIEDH/2/UI-1 C/D/00368/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,NO,NO,
134,C5/20221102/00131,134,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,02/11/2022,00:46:54,00:46:57,00:47:02,ZONA ORIENTE,MIXQUIC,O-3.1.3.,TLÁHUAC,19.30295389,-99.01982961,CI-FIEDH/2/UI-1C/D/00367/11-2022,RADIO,AGRESION DIRECTA,LESIÓN POR GOLPES,1,,,NO,NA,NO,VIA PUBLICA,NO,NO,NO,
135,C5/20221101/04180,135,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,01/11/2022,21:55:56,21:56:58,21:57:02,ZONA ORIENTE,QUETZAL,O-1.6.13,IZTAPALAPA,19.3313,-99.04305,CI-FEIDF/D/UI-3 S/D/00265/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,1,SI,NO ESPECIFICADO,NO,HOSPITAL,SI,SI,NO,
136,C5/20221103/00672,136,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,03/11/2022,07:01:50,07:02:14,07:02:54,ZONA NORTE,MOCTEZUMA,N-3.5.14,VENUSTIANO CARRANZA,19.440183,-99.108913,CI-FIEDH/2/UI-1 C/D/00371/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,MUERTE POR ETIOLOGÍA A DETERMINAR CON SIGNOS DE VIOLENCIA POR ARMA BLANCA,1,,,NO,NA,NO,VIA PUBLICA,NO,NO,NO,
137,C5/20221102/04506,137,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,02/11/2022,23:58:28,23:59:22,00:01:21,ZONA CENTRO,TLATELOLCO,O-1.6.13,CUAUHTÉMOC,19.45637042,-99.16318807,CI-FIEDH/2/UI-1 C/D/00370/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,.50MM y 9MM,NO,VIA PUBLICA,NO,SI,NO,
139,C5/20221104/04003,139,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,04/11/2022,20:20:01,20:20:56,20:22:16,ZONA NORTE,TICOMAN,N.1.8.8,GUSTAVO A. MADERO,19.50699742,-99.15517756,CI-FIEDH/2/UI-1C/D/00373/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,3,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
140,C5/20221104/03437,140,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,04/11/2022,18:42:27,18:43:15,18:45:03,ZONA ORIENTE,MIXQUIC,O.1.3.4,TLÁHUAC,19.2867,-99.0138,CI-FIEDH/2/UI-1C/D/00372/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,.9MM,NO,NEGOCIO (OTRO),NO,SI,NO,
141,C5/20221104/00013,141,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,04/11/2022,00:04:11,00:04:54,00:06:42,ZONA ORIENTE,TEPEPAN,O-4.2.5,XOCHIMILCO,19.24534351,-99.07923374,CI-FIXOC/XO-2/UI-2 C/D/00534/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,2,1,SI,NO ESPECIFICADO,NO,DOMICILIO,NO,NO,NO,
142,C2S/20221104/00030,142,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,04/11/2022,09:06:49,09:07:09,09:12:49,ZONA SUR,PADIERNA,S-4.4.8,TLALPAN,19.27675,-99.2111,CI-FEIDF/D/UI-3 S/D/00268/11-2022,BOTÓN DE AUXILIO,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,1,SI,.32MM,NO,DOMICILIO,SI,NO,NO,
143,C2P/20221104/00137,143,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,04/11/2022,20:54:19,20:54:31,21:01:17,ZONA PONIENTE,SANTA FE,P.1.4.6,ÁLVARO OBREGÓN,19.36095,-99.24339,CI-FIEDH/2/UI-1 C/D/00374/11-2022,BOTÓN DE AUXILIO,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,1,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,SI,
144,C5/20221105/04354,144,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,05/11/2022,21:36:39,21:37:19,21:39:11,ZONA CENTRO,CENTRO,C-1.5.6,CUAUHTÉMOC,19.423548,-99.131019,CI-FIEDH/2/UI-1 C/D/00377/10-2022,LLAMADA DEL 911,RIÑA,GOLPES,1,,2,NO,NA,NO,VIA PUBLICA,NO,NO,NO,
145,C5/20221105/03662,145,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,05/11/2022,19:47:18,19:48:02,19:51:19,ZONA ORIENTE,TEZONCO,O-1.9.5,IZTAPALAPA,19.321167,-99.058099,CI-FIEDH/2/UI-1 C/D/00376/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,2,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,SI,"PISTOLA DE COLOR NEGRA CON LA LEYENDA EN SU LADO DERECHO CAL 9X19 READ WARNINGSBEFORE USING GUNSFT-MADE IN ITALY, Y EN LA EMPUÑADURA PARTE BAJA TANFOGLIO Y DE SU LADO IZQUIERDO EN LA EMPUÑADURA PARTE BAJA LA LEYENDA FORCÉ 99 "
146,C5/20221105/00916,146,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,05/11/2022,03:57:48,03:59:15,04:06:54,ZONA CENTRO,TLATELOLCO,C-1.8.1,CUAUHTÉMOC,19.455236,-99.151617,CI-FIEDH/2/UI-1 C/D/00375/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,SI,NO,
147,C5/20221106/05547,147,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,06/11/2022,20:53:14,20:54:39,20:57:55,ZONA NORTE,TEPEYAC,N-1.7.8,GUSTAVO A. MADERO,19.46731,-99.1345835,CI-FIEDH/2/UI-1 C/D/00378/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,SI,NO,
148,C5/20221106/03475,148,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,06/11/2022,13:35:31,13:35:54,13:39:22,ZONA ORIENTE,TECÓMITL,O.2.2.2,MILPA ALTA,19.20854219,-98.98526207,CI-FIMA/MIL-1/UI-2 C/D/00217/11-2022,LLAMADA DEL 911,ROBO,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
149,C5/20221105/04461,149,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,05/11/2022,21:52:31,21:52:47,21:56:55,ZONA SUR,FUENTE,S-4.2.5,TLALPAN,19.27243799,-99.18192038,CI-FITLP/UAT-TLP-3/UI-1 S/D/03551/11-202,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,SI,SI,NO,
150,C5/20221029/02221,150,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,29/10/2022,07:25:54,07:26:24,07:27:55,ZONA ORIENTE,TEZONCO,O-1.9.9,IZTAPALAPA,19.30245625,-99.07307937,CI-FIVC/VC-3/UI-1 C/D/01740/11-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR GOLPES,1,1,,NO,NA,NO,VIA PUBLICA,SI,NO,NO,
151,C2O/20221108/00165,151,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,08/11/2022,15:51:46,15:53:47,15:54:15,ZONA ORIENTE,MIXQUIC,O-3.1.6.,TLÁHUAC,19.26565877,-98.99845489,SIN DATO,RADIO,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,1,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,NO,NO,
